"route_id,service_id,trip_id,shape_id,direction_id"
"MB_230,MB_DAILY,MB_trip_230,MB_shape_230,"
"MB_231,MB_DAILY,MB_trip_231,MB_shape_231,"
"MB_232,MB_DAILY,MB_trip_232,MB_shape_232,"
"MB_233,MB_DAILY,MB_trip_233,MB_shape_233,"
"MB_234,MB_DAILY,MB_trip_234,MB_shape_234,"
"MB_235,MB_DAILY,MB_trip_235,MB_shape_235,"
"MB_236,MB_DAILY,MB_trip_236,MB_shape_236,"
"MB_237,MB_DAILY,MB_trip_237,MB_shape_237,"
"MB_238,MB_DAILY,MB_trip_238,MB_shape_238,"
"MB_239,MB_DAILY,MB_trip_239,MB_shape_239,"
"MB_240,MB_DAILY,MB_trip_240,MB_shape_240,"
"MB_241,MB_DAILY,MB_trip_241,MB_shape_241,"
"MB_242,MB_DAILY,MB_trip_242,MB_shape_242,"
"MB_243,MB_DAILY,MB_trip_243,MB_shape_243,"
"MB_244,MB_DAILY,MB_trip_244,MB_shape_244,"
"MB_245,MB_DAILY,MB_trip_245,MB_shape_245,"
"MB_246,MB_DAILY,MB_trip_246,MB_shape_246,"
"MB_247,MB_DAILY,MB_trip_247,MB_shape_247,"
"MB_248,MB_DAILY,MB_trip_248,MB_shape_248,"
"MB_249,MB_DAILY,MB_trip_249,MB_shape_249,"
"MB_250,MB_DAILY,MB_trip_250,MB_shape_250,"
"MB_251,MB_DAILY,MB_trip_251,MB_shape_251,"
"MB_252,MB_DAILY,MB_trip_252,MB_shape_252,"
"MB_253,MB_DAILY,MB_trip_253,MB_shape_253,"
"MB_254,MB_DAILY,MB_trip_254,MB_shape_254,"
"MB_255,MB_DAILY,MB_trip_255,MB_shape_255,"
"MB_256,MB_DAILY,MB_trip_256,MB_shape_256,"
"MB_257,MB_DAILY,MB_trip_257,MB_shape_257,"
"MB_258,MB_DAILY,MB_trip_258,MB_shape_258,"
"MB_259,MB_DAILY,MB_trip_259,MB_shape_259,"
"MB_260,MB_DAILY,MB_trip_260,MB_shape_260,"
"MB_261,MB_DAILY,MB_trip_261,MB_shape_261,"
"MB_262,MB_DAILY,MB_trip_262,MB_shape_262,"
"MB_263,MB_DAILY,MB_trip_263,MB_shape_263,"
"MB_264,MB_DAILY,MB_trip_264,MB_shape_264,"
"MB_265,MB_DAILY,MB_trip_265,MB_shape_265,"
"MB_266,MB_DAILY,MB_trip_266,MB_shape_266,"
"MB_267,MB_DAILY,MB_trip_267,MB_shape_267,"
"MB_268,MB_DAILY,MB_trip_268,MB_shape_268,"
"MB_269,MB_DAILY,MB_trip_269,MB_shape_269,"
"MB_270,MB_DAILY,MB_trip_270,MB_shape_270,"
"MB_271,MB_DAILY,MB_trip_271,MB_shape_271,"
"MB_272,MB_DAILY,MB_trip_272,MB_shape_272,"
"MB_273,MB_DAILY,MB_trip_273,MB_shape_273,"
"MB_274,MB_DAILY,MB_trip_274,MB_shape_274,"
"MB_275,MB_DAILY,MB_trip_275,MB_shape_275,"
"MB_276,MB_DAILY,MB_trip_276,MB_shape_276,"
"MB_277,MB_DAILY,MB_trip_277,MB_shape_277,"
